,game_name,stream_count,total_viewer_count,average_viewer_count
112,War by Grow Games,1,11956,11956
113,My Summer Car,1,3256,3256
114,Across the Obelisk,1,2711,2711
115,Euro Truck Simulator 2,2,13200,6600
116,R.I.S.K.,1,2277,2277
117,The Binding of Isaac: Afterbirth,8,49067,6133
118,Plants vs. Zombies,1,4056,4056
119,Retro,1,3154,3154
120,MORDHAU,1,16224,16224
121,Outriders,2,6007,3003
122,Say No! More,1,5637,5637
123,Chivalry 2,1,2909,2909
124,Tabletop RPGs,1,17145,17145
125,Slots,17,242173,14245
126,Resident Evil 7 biohazard,1,3322,3322
127,Fortnite,50,324587,6491
128,Games + Demos,1,2930,2930
129,Youtubers Life,1,9337,9337
130,The Elder Scrolls III: Morrowind,1,3555,3555
131,Beyond: Two Souls,1,7659,7659
132,It Takes Two,11,40743,3703
133,Resident Evil,2,17392,8696
134,Counter-Strike: Global Offensive,32,138332,4322
135,Shadow of the Colossus,1,3967,3967
136,SkyGunner,1,3499,3499
137,NBA 2K21,2,8844,4422
138,Resident Evil: Revelations 2,1,3993,3993
